split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
training,10,self_relevant,reset_actual_generation,"4,5,8",3,chain,m1,m3,p5>p4>p2,3,inhibitor_first,D>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,0.3333333333333333,1,1,4,58,0.03732303732303732,1,235,235,1,0,0,1,1,0.7820466491963749,0.013101771652159738,50,1,1,1,0.02704061773017148,1,1,0,1,1,1,1,1,0,0,0,1,0.845216511709233,0.8692052819061079,2.872049999999984,9,4,0,0.0004178232941145195,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,11,self_relevant,reset_actual_generation,"10,5,0,1",4,dense,m1,m3,p5>p2>p7,3,fork,E>A>B,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,0,0,4,70,0.04504504504504504,0,321,321,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.6086821395763719,0.6973503871857714,3.1066000000000003,10,4,0,0.018915893862681492,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,12,self_relevant,reset_actual_generation,"13,1,12",3,ring,m3,m0,p0>p6>p0,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,56,0.036036036036036036,1,231,231,1,0,0,1,1,0.7611995313430117,0.009900796206005365,46,1,1,1,0.026627204516737626,1,1,0,1,1,1,1,1,0,0,0,1,0.7639631205368126,0.7854670888330922,3.1375000000000024,10,4,0,0.028013862736208324,0.837,relational,0.0,0.0,0.0,0,0,0,1,0
training,13,self_relevant,reset_actual_generation,"8,7,0,12",4,chain,m3,m1,p3>p6>p7,3,delayed,B>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,0.25,1,1,4,57,0.03667953667953668,1,268,268,1,0,0,1,1,0.7156117913465397,0.01816572640938865,48,1,1,1,0.02584562841282834,1,1,0,1,1,1,1,1,0,0,0,1,0.8166808624971116,0.8549785967973527,2.850399999999992,11,4,0,0.005096321220462307,0.996445,relational,0.0,0.0,0.0,0,0,0,1,0
training,14,self_relevant,reset_actual_generation,"12,13,7",3,dense,m0,m3,p6>p0>p5,3,inhibitor_first,D>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,0.75,1.0,1,1,4,57,0.03667953667953668,1,235,235,1,0,0,1,1,0.8405444096040305,0.012559198991046539,46,1,1,1,0.02616045941479467,1,1,0,1,1,1,1,1,0,0,0,1,0.7384641331374224,0.7934980836295104,3.1619000000000024,12,4,0,0.01679983607736686,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,15,self_relevant,reset_actual_generation,"4,11,6,9",4,ring,m0,m3,p7>p2>p4,3,fork,E>A>B,1,6,A>B>C>D>E>F,0,320,1,1.0,0.8,1.0,1,1,4,68,0.043758043758043756,1,235,235,1,0,0,1,1,0.8120899808611276,0.012127395891620204,46,1,1,1,0.026705150494201028,1,1,0,1,1,1,1,1,0,0,0,1,0.7564089811567271,0.8111042598053498,3.1870000000000003,13,4,0,0.0033639354577564545,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,16,self_relevant,reset_actual_generation,"13,9,10",3,chain,m3,m2,p4>p6>p4,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,0.6,1.0,1,1,4,56,0.036036036036036036,1,231,231,1,0,0,1,1,0.7657606256691276,0.010765283363518488,48,1,1,1,0.027116800026392534,1,1,0,1,1,1,1,1,0,0,0,1,0.7718430087672987,0.820238854164594,3.1375000000000024,14,4,0,0.002621354536940545,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,17,self_relevant,reset_actual_generation,"10,7,13,3",4,dense,m0,m1,p6>p3>p5,3,delayed,B>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,57,0.03667953667953668,1,235,235,1,0,0,1,1,0.7747601494803305,0.0068511218134925805,46,1,1,1,0.02658935032319447,1,1,0,1,1,1,0,0,0,0,0,1,0.7657383916910745,0.80012665447816,3.1375000000000024,15,4,0,0.0030538537044756207,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,18,self_relevant,reset_actual_generation,"0,13,4",3,ring,m2,m0,p6>p5>p7,3,inhibitor_first,D>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,57,0.03667953667953668,1,235,235,1,0,0,1,1,0.9074046939125893,0.009904609966064442,44,1,1,1,0.027335477421989413,1,1,0,1,1,1,1,1,0,0,0,1,0.7656702690922539,0.8015852952189103,3.1375000000000024,16,4,0,0.0012361382295505493,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,19,self_relevant,reset_actual_generation,"12,9,5,13",4,chain,m3,m2,p3>p2>p1,3,fork,E>A>B,1,6,A>B>C>D>E>F,0,320,1,1.0,0.5714285714285714,1.0,0,0,4,70,0.04504504504504504,0,321,321,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5933894821484827,0.7293724466007444,3.1066000000000003,17,4,0,0.0009884818873864846,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,20,self_relevant,reset_actual_generation,"9,7,12",3,dense,m0,m3,p5>p1>p5,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,56,0.036036036036036036,1,235,235,1,0,0,1,1,0.8171355529513079,0.0086747752661077,45,1,1,1,0.02690103612703676,1,1,0,1,1,1,1,1,0,0,0,1,0.7635792449725086,0.7951342558348206,3.1619000000000024,17,4,0,0.05357006489154064,0.837,relational,0.0,0.0,0.0,0,0,0,1,0
