split,seed,relevance,mode,need_policy,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,replay_exact_match,replayed_observations,common_decoder_diagnosis_made,common_decoder_kind,common_decoder_observations,common_decoder_mechanism_correct,common_decoder_bridge_correct,common_decoder_validation_attempted,common_decoder_validation_passed,common_decoder_repair_attempted,common_decoder_repair_correct,common_decoder_organization_restored,common_decoder_replication_attempted,common_decoder_replication_success,common_decoder_replicated_restoration,common_decoder_false_repair,yoke_donor_seed,yoke_component_shift
confirmation,30019,self_relevant,actual_need,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,1,1,4,49,0.0175,1,293,293,1,0,0,1,1,0.8459776091671004,0.005762516572889479,48,1,1,1,0,0.02986984468764248,1,1,0,1,1,1,1,1,0,0,0,1,0.8586566174262265,0.8936849742089299,0.5856643356643356,0.16089322557328953,0.8132475756706544,0.3769977242478712,1.0,0.16783216783216784,0.6118881118881119,0.1381118881118881,0.21713286713286714,-0.07902097902097904,3.7483000000000204,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,293,1,bridge,293,1,1,1,1,1,1,1,1,1,1,0,,
confirmation,30019,self_relevant,curiosity,curiosity,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,1,1,4,49,0.0175,1,291,291,1,0,0,1,1,0.8160772794058371,0.008579723137772052,43,1,1,1,0,0.029419744654265986,1,1,0,1,1,1,1,1,0,0,0,1,0.8650369361139013,0.8957256258156846,0.5611888111888111,0.0,0.0,0.0,0.0,0.19755244755244755,0.46678321678321677,0.11013986013986014,0.1646853146853147,-0.05454545454545455,3.725200000000021,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30019,self_relevant,no_need,none,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,4,49,0.0175,1,559,601,0,1,1,0,0,0.9049897577458477,-0.0007144659839710942,82,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8395353662559997,0.8598013609350127,0.5,0.0,0.0,0.0,0.0,0.18356643356643357,0.46678321678321677,0.11013986013986014,0.1646853146853147,-0.05454545454545455,3.573500000000017,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30019,self_relevant,yoked_need,yoked,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,1,1,4,49,0.0175,1,294,601,0,1,1,1,0,0.8477273462573435,0.0008264262172968603,48,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8052315577045667,0.8422480324118395,0.6625874125874126,0.013355216415420333,0.373641955963134,0.23453968102533299,1.0,0.18706293706293706,0.36625874125874125,0.08391608391608392,0.12972027972027972,-0.0458041958041958,3.7506000000000155,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,294,1,no_bridge,294,1,0,0,0,0,0,0,0,0,0,0,30031,1
confirmation,30020,neutral,actual_need,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,1,278,601,0,1,0,0,1,0.7749124604620515,-0.002072649812691262,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7070046219768527,0.7976015450005158,0.6363636363636364,0.5632368078385963,0.7043453170747007,0.5898209018847339,1.0,0.18006993006993008,0.49213286713286714,0.9073426573426573,0.019230769230769232,0.888111888111888,3.5340500000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,278,1,no_bridge,278,0,1,0,0,0,0,0,0,0,0,0,,
confirmation,30020,neutral,curiosity,curiosity,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,41,0.052564102564102565,1,278,601,0,1,0,0,1,0.7760198341062665,-0.002022999841168864,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7062341253511145,0.7963481261323601,0.6538461538461539,0.0,0.0,0.0,0.0,0.1853146853146853,0.20279720279720279,0.10139860139860139,0.07604895104895104,0.02534965034965035,3.5489000000000193,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30020,neutral,no_need,none,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,41,0.052564102564102565,1,363,601,0,1,0,0,1,0.7890799445416543,-0.0004612562917026531,46,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7055863098903561,0.794855641050759,0.5,0.0,0.0,0.0,0.0,0.14685314685314685,0.20279720279720279,0.10139860139860139,0.07604895104895104,0.02534965034965035,3.44000000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30020,neutral,yoked_need,yoked,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,1,271,601,0,1,0,0,1,0.7752779428693513,-0.0014229260420198153,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7065801918562584,0.7972792499445275,0.6730769230769231,0.06673096629926484,0.21640781385719712,0.44142668710650784,1.0,0.1888111888111888,0.02972027972027972,0.019230769230769232,0.010052447552447552,0.00917832167832168,3.5588000000000193,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,271,1,no_bridge,271,0,1,0,0,0,0,0,0,0,0,0,30026,8
confirmation,30020,self_relevant,actual_need,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,43,0.05512820512820513,1,312,601,0,1,1,0,0,0.7880179249017165,0.001319695147814466,46,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8187503115025244,0.8333701474397236,0.5786713286713286,0.11323841332167094,0.27217776978181857,0.4289108411631624,1.0,0.16433566433566432,0.17307692307692307,0.17307692307692307,0.04326923076923077,0.1298076923076923,3.4944500000000183,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,312,1,no_bridge,312,0,0,0,0,0,0,0,0,0,0,0,,
confirmation,30020,self_relevant,curiosity,curiosity,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,1,307,601,0,1,1,0,0,0.7873041897575739,-0.0007669042768147617,52,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7887048564474287,0.8174401119257888,0.6503496503496503,0.0,0.0,0.0,0.0,0.18356643356643357,0.20279720279720279,0.10139860139860139,0.07604895104895104,0.02534965034965035,3.5439500000000193,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
