split,relevance,mode,core_size,program_length,grammar_family,label_permuted,nonstationary,runs,primitive_cardinality,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,replay_exact_match,replayed_observations,common_decoder_diagnosis_made,common_decoder_observations,common_decoder_mechanism_correct,common_decoder_bridge_correct,common_decoder_validation_attempted,common_decoder_validation_passed,common_decoder_repair_attempted,common_decoder_repair_correct,common_decoder_organization_restored,common_decoder_replication_attempted,common_decoder_replication_success,common_decoder_replicated_restoration,common_decoder_false_repair
confirmation,self_relevant,actual_need,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.7222222222222222,0.7222222222222222,4.0,49.0,0.0175,1.0,333.6111111111111,495.3888888888889,0.3888888888888889,0.6111111111111112,0.6111111111111112,0.7222222222222222,0.3888888888888889,0.9325612203008466,0.0015108030435472914,48.55555555555556,1.0,0.3888888888888889,0.3888888888888889,0.0,0.011438347083665708,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,0.3888888888888889,0.8232587650256967,0.8583942559283023,0.5903263403263403,0.10547869194499543,0.5375401428157313,0.3781637955465704,1.0,0.19366744366744368,0.4515345765345765,0.1791958041958042,0.14477466977466977,0.03442113442113443,3.6983722222222384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,333.6111111111111,1.0,333.6111111111111,0.7222222222222222,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.0
confirmation,self_relevant,actual_need,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.7777777777777778,0.7777777777777778,4.0,49.0,0.0175,1.0,337.8333333333333,460.94444444444446,0.5,0.5,0.5,0.7777777777777778,0.5,0.9070345799849446,0.002836412652476317,49.666666666666664,1.0,0.5,0.5,0.0,0.014762618657415145,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.8428274039989826,0.873489484224486,0.5699300699300699,0.15974837719032,0.5368487278587459,0.38427444744705297,1.0,0.1823038073038073,0.44264763014763014,0.2567016317016317,0.12571872571872572,0.130982905982906,3.688705555555573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,337.8333333333333,1.0,337.8333333333333,0.7777777777777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
confirmation,self_relevant,curiosity,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.6111111111111112,0.6111111111111112,4.0,41.5,0.0532051282051282,1.0,297.44444444444446,468.8333333333333,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.4444444444444444,0.7993904955319014,0.0021391254088267667,49.361111111111114,1.0,0.4444444444444444,0.4444444444444444,0.0,0.011624549707756249,0.4444444444444444,0.8055555555555556,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.0,0.0,0.4166666666666667,0.8135366238215116,0.8461137062286241,0.6278166278166278,0.0,0.0,0.0,0.0,0.18798562548562547,0.3105089355089355,0.1300019425019425,0.12275398212898213,0.00724796037296037,3.5815500000000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,curiosity,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.7222222222222222,0.7222222222222222,4.0,49.0,0.0175,1.0,318.3888888888889,569.9444444444445,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.7222222222222222,0.1111111111111111,0.9378167207478951,-0.0002515748783826718,49.55555555555556,1.0,0.1111111111111111,0.1111111111111111,0.0,0.003428389401763711,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.8036682163565085,0.8426829477753187,0.6398601398601399,0.0,0.0,0.0,0.0,0.20386557886557888,0.3864121989121989,0.1179098679098679,0.130982905982906,-0.01307303807303807,3.731094444444461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,curiosity,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.5555555555555556,0.5555555555555556,4.0,49.0,0.0175,1.0,317.22222222222223,504.22222222222223,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.9313377198023778,0.0008804554451952289,48.72222222222222,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0098994119606529,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.8196496412237672,0.8560003522544295,0.6235431235431236,0.0,0.0,0.0,0.0,0.19784382284382285,0.3942307692307692,0.12713675213675213,0.13226495726495727,-0.005128205128205128,3.7357166666666846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,no_need,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.6944444444444444,0.6944444444444444,4.0,41.47222222222222,0.05316951566951567,0.9166666666666666,401.0,520.3333333333334,0.3888888888888889,0.5277777777777778,0.5277777777777778,0.6944444444444444,0.3888888888888889,0.7325718179275879,0.0025848132679434322,45.69444444444444,0.9166666666666666,0.3888888888888889,0.3888888888888889,0.0,0.01007221161266226,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0.3888888888888889,0.8253496258800026,0.8535724481551926,0.5,0.0,0.0,0.0,0.0,0.1553030303030303,0.3105089355089355,0.1300019425019425,0.12275398212898213,0.00724796037296037,3.4712666666666867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,no_need,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.6111111111111112,0.6111111111111112,4.0,49.0,0.0175,0.9444444444444444,434.0,567.3333333333334,0.16666666666666666,0.7777777777777778,0.7777777777777778,0.6111111111111112,0.16666666666666666,0.886491206031528,0.00030913674602980933,49.888888888888886,0.9444444444444444,0.16666666666666666,0.16666666666666666,0.0,0.004831151228638331,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8199798887662868,0.854978083489848,0.5,0.0,0.0,0.0,0.0,0.17132867132867133,0.3864121989121989,0.1179098679098679,0.130982905982906,-0.01307303807303807,3.58723333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,no_need,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.3888888888888889,0.3888888888888889,4.0,49.0,0.0175,0.8888888888888888,431.77777777777777,553.8888888888889,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.3888888888888889,0.2222222222222222,0.8387465791151467,0.00032906038030072483,44.27777777777778,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.0,0.006546673699264172,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.8302700740820885,0.8615322240654764,0.5,0.0,0.0,0.0,0.0,0.16724941724941725,0.3942307692307692,0.12713675213675213,0.13226495726495727,-0.005128205128205128,3.591811111111128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,self_relevant,yoked_need,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.6388888888888888,0.6388888888888888,4.0,41.44444444444444,0.053133903133903135,1.0,312.55555555555554,450.97222222222223,0.4722222222222222,0.5277777777777778,0.5277777777777778,0.6388888888888888,0.4722222222222222,0.7976536421378279,0.0019352745170277668,50.22222222222222,1.0,0.4722222222222222,0.4722222222222222,0.0,0.01226409447769248,0.4722222222222222,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.4722222222222222,0.8202351938971266,0.8522903188200616,0.5868298368298368,0.05293068862262637,0.34959279104519164,0.3735200289802483,1.0,0.17710761460761462,0.31507381507381504,0.11203379953379954,0.12952845765345766,-0.01749465811965812,3.537916666666687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,312.55555555555554,1.0,312.55555555555554,0.6388888888888888,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4444444444444444,0.4444444444444444,0.0
confirmation,self_relevant,yoked_need,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.6666666666666666,0.6666666666666666,4.0,49.0,0.0175,1.0,336.5,550.2777777777778,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.9376372565989145,0.0001334103203145616,49.333333333333336,1.0,0.16666666666666666,0.16666666666666666,0.0,0.004964896218636039,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8067551960005445,0.848688187995177,0.5908119658119658,0.08690451588406768,0.39881472555950825,0.37267514223827297,1.0,0.19386169386169386,0.35887723387723386,0.15520590520590521,0.1125097125097125,0.042696192696192695,3.682627777777794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,336.5,1.0,336.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
