seed,relevance,stratum,left_condition,right_condition,metric,left_value,right_value,difference
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_sensed_need_mass_share,0.36399309171748523,0.45227953998074816,-0.08828644826326293
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,self_domain_observation_share,0.541958041958042,0.5209790209790209,0.020979020979021046
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,causal_target_sensing_share,0.11013986013986014,0.07517482517482517,0.034965034965034975
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,causal_target_sensing_selectivity,-0.026660839160839153,0.008741258741258737,-0.03540209790209789
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,diagnosis_observations,298.0,328.0,-30.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,replicated_restoration,1.0,0.0,1.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,false_null,0.0,1.0,-1.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,common_decoder_bridge_correct,1.0,0.0,1.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,common_decoder_replicated_restoration,1.0,0.0,1.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,mean_need_target_mass_share,0.3032055720863731,0.0011169462831764458,0.3020886258031967
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,mean_need_true_core_mass_share,0.8381923390865023,0.33353780829798996,0.5046545307885123
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,mean_sensed_need_mass_share,0.27339530486014085,0.39153945454100664,-0.11814414968086578
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,self_domain_observation_share,0.6573426573426573,0.666083916083916,-0.00874125874125875
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,causal_target_sensing_share,0.7342657342657343,0.08916083916083917,0.6451048951048951
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,causal_target_sensing_selectivity,0.6716783216783216,0.03601398601398602,0.6356643356643357
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,diagnosis_observations,287.0,287.0,0.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,false_null,0.0,0.0,0.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,common_decoder_bridge_correct,1.0,1.0,0.0
30003,neutral,6|context_comp|7|1|ring,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,mean_need_target_mass_share,0.22254363637578273,0.005785004237727917,0.2167586321380548
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,mean_need_true_core_mass_share,0.8095747734004677,0.49732286505421386,0.3122519083462538
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,mean_sensed_need_mass_share,0.20908729763972989,0.2636275267845288,-0.05454022914479889
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,self_domain_observation_share,0.666083916083916,0.5244755244755245,0.14160839160839156
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,causal_target_sensing_share,0.5087412587412588,0.08216783216783216,0.42657342657342656
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,causal_target_sensing_selectivity,0.41013986013986015,-0.037062937062937076,0.4472027972027972
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,diagnosis_observations,286.0,346.0,-60.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,false_null,1.0,1.0,0.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,common_decoder_bridge_correct,0.0,0.0,0.0
30003,self_relevant,6|context_comp|7|1|ring,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_need_target_mass_share,0.36937919675951053,0.010176233152926498,0.35920296360658405
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_need_true_core_mass_share,0.8615273795668082,0.22150871202026826,0.64001866754654
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_sensed_need_mass_share,0.4039113188988702,0.36792040781762203,0.03599091108124819
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,self_domain_observation_share,0.6573426573426573,0.6643356643356644,-0.006993006993007089
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,causal_target_sensing_share,0.7412587412587412,0.16433566433566432,0.5769230769230769
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,causal_target_sensing_selectivity,0.5065559440559441,-0.044580419580419584,0.5511363636363636
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,diagnosis_observations,284.0,281.0,3.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,false_null,0.0,0.0,0.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,common_decoder_bridge_correct,1.0,1.0,0.0
30004,neutral,5|branch_comp|5|0|chain,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_need_target_mass_share,0.24006424039664967,0.007811833847054002,0.23225240654959567
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_need_true_core_mass_share,0.6582058302109864,0.2367327758217124,0.42147305438927407
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,mean_sensed_need_mass_share,0.3057852846307391,0.40886530582256,-0.10308002119182086
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,self_domain_observation_share,0.6573426573426573,0.6188811188811189,0.038461538461538436
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,causal_target_sensing_share,0.3321678321678322,0.16433566433566432,0.16783216783216787
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,causal_target_sensing_selectivity,0.06643356643356646,-0.0611888111888112,0.12762237762237766
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,diagnosis_observations,285.0,266.0,19.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,replicated_restoration,1.0,0.0,1.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,false_null,0.0,1.0,-1.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,common_decoder_bridge_correct,1.0,0.0,1.0
30004,self_relevant,5|branch_comp|5|0|chain,actual_need,yoked_need,common_decoder_replicated_restoration,1.0,0.0,1.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,mean_need_target_mass_share,0.4494457278211399,0.019949428197628516,0.4294962996235114
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,mean_need_true_core_mass_share,0.8724595886927163,0.13923457833194128,0.733225010360775
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,mean_sensed_need_mass_share,0.43547744202480826,0.4258035232996085,0.009673918725199737
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,self_domain_observation_share,0.6695804195804196,0.6573426573426573,0.012237762237762295
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,causal_target_sensing_share,0.7692307692307693,0.09965034965034965,0.6695804195804196
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,causal_target_sensing_selectivity,0.6898601398601399,0.03356643356643356,0.6562937062937064
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,diagnosis_observations,301.0,307.0,-6.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,false_null,0.0,0.0,0.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,common_decoder_bridge_correct,1.0,1.0,0.0
30005,neutral,6|context_comp|7|0|dense,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,mean_need_target_mass_share,0.13222364044813584,0.07991954099261753,0.05230409945551831
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,mean_need_true_core_mass_share,0.5603458519223423,0.3890567447236406,0.17128910719870172
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,mean_sensed_need_mass_share,0.2852350370042868,0.4096299006406139,-0.12439486363632707
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,self_domain_observation_share,0.548951048951049,0.5506993006993007,-0.0017482517482517723
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,causal_target_sensing_share,0.1888111888111888,0.1590909090909091,0.029720279720279713
30005,self_relevant,6|context_comp|7|0|dense,actual_need,yoked_need,causal_target_sensing_selectivity,0.04160839160839161,0.05804195804195804,-0.01643356643356643
